identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-A-2026-6078,2026-03-14,235c2eea6abca1083d44217a45cc3b8c649fe24d8031360bd44efcde205ecdd6,2026,A,MODEL_REQUIRED,main-14,118,aa6969bc3ea8b19fc0f4c142e06863b036162d8d2a3dbf0b07e58fe86ce3bb9d
BOE-B-2025-28146,2025-08-01,c637cac31111f6baf43fcd05798c42ac8724c2a680f26b2017ebc4d44b2f25db,2025,B,MODEL_REQUIRED,main-14,119,aa7d65c672dd0cc5d7c01e6e326094093606473061fa361b2573d1b58228bdef
BOE-A-2024-5595,2024-03-20,b308660916efd129bf5068baf7d92465b777b649a65d2646e5cf7886363906ac,2024,A,MODEL_REQUIRED,main-14,120,aa845c755caf4917848b72347ff0fad393e0bb937aa76ef90382a0d27557d4d0
BOE-A-2025-24690,2025-12-04,ee92802858c086c564e5c7e90d9fe53547eb685efaec2b835986009aa77cbab1,2025,A,MODEL_REQUIRED,main-14,121,aa89abe05127102a3aa42a6e4f3a3977bd1117786b56a9d16e611c976349c7d1
BOE-A-2025-18825,2025-09-23,92fef23a06e5727ffa6b57face3a0fe4edae6528a0b43374f34d3b181647a0d9,2025,A,MODEL_REQUIRED,main-14,122,aa90eb45186d5f54ac90933f0d18c4dc5a1eef55ed5cbb0ce32d28ed650b615c
BOE-A-2025-5721,2025-03-21,b9b6b760ab3dfc4c58350da5511e0ec699b5cf371e409cda113c339a4445aac1,2025,A,MODEL_REQUIRED,main-14,123,aa92dedd2ae7fc6f4c65c8c5465ba6a533db4a56b7beed378928813fb8e702c4
BOE-B-2026-7482,2026-03-11,e0cebb83fb5e246b778ae9fcbce7a2c17679a295ad282741c5cca3aaa8e4b667,2026,B,MODEL_REQUIRED,main-14,124,aa959aa4742fce9c652eae87d9de06c4e6da2226e8e937b0f7093b2c454c98a3
BOE-B-2025-10763,2025-03-24,6e9a71370dcdb3d90978c77d24d3503ccd10c073663d2bed76f84c2b5d5e5d35,2025,B,MODEL_REQUIRED,main-14,125,aa9cc9c94bd84c2e5aa10dd7f8eda912987eebb78502b291aece5ff1801a2e31
BOE-B-2025-41391,2025-11-12,30ba9c6ed138f74afea7dfee2b1b989d2fc5ff86ea25e5c5c43538dd71ab9ece,2025,B,MODEL_REQUIRED,main-14,126,aaa47ced0fe853a23bba805a4205efe71cdd17ce74492c480f65188c6481a137
BOE-B-2026-19506,2026-06-10,ee11e1e3de33ad777d7dea0f0c18eb7c814aa5396c77d1e653dc913556f93a43,2026,B,MODEL_REQUIRED,main-14,127,aaa48e5e525c6ca74b4aa1a38872395cb76f750ca604c4df5ed77a415d33f059
